Year;Economy;Economy Label;Flow;Flow Label;Direction;Direction Label;US$ at current prices in millions;US$ at current prices in millions Footnote;US$ at current prices in millions Missing value;US$ at current prices per capita;US$ at current prices per capita Footnote;US$ at current prices per capita Missing value;Percentage of total world;Percentage of total world Footnote;Percentage of total world Missing value;Percentage of Gross Domestic Product;Percentage of Gross Domestic Product Footnote;Percentage of Gross Domestic Product Missing value;Percentage of Gross Fixed Capital Formation;Percentage of Gross Fixed Capital Formation Footnote;Percentage of Gross Fixed Capital Formation Missing value
1990;0;World;8;Flow;1;Inward;204888;;;39;;;100;;;1;;;4;;
1990;0;World;8;Flow;2;Outward;243875;;;54;;;100;;;1;;;5;;
1990;0;World;9;Stock;1;Inward;2196203;;;414;;;100;;;10;;;39;;
1990;0;World;9;Stock;2;Outward;2254903;;;497;;;100;;;10;;;42;;
1990;5100;Africa;8;Flow;1;Inward;2845;;;4;;;1;;;1;;;2;;
1990;5100;Africa;8;Flow;2;Outward;658;;;2;;;0;;;0;;;1;;
1990;5100;Africa;9;Stock;1;Inward;59995;;;93;;;3;;;11;;;46;;
1990;5100;Africa;9;Stock;2;Outward;21250;;;51;;;1;;;4;;;18;;
1990;5110;Northern Africa;8;Flow;1;Inward;1155;;;8;;;1;;;1;;;3;;
1990;5110;Northern Africa;8;Flow;2;Outward;135;;;1;;;0;;;0;;;0;;
1990;5110;Northern Africa;9;Stock;1;Inward;23962;;;162;;;1;;;13;;;56;;
1990;5110;Northern Africa;9;Stock;2;Outward;1836;;;15;;;0;;;1;;;5;;
1990;5120;Sub-Saharan Africa;8;Flow;1;Inward;1690;;;3;;;1;;;0;;;2;;
1990;5120;Sub-Saharan Africa;8;Flow;2;Outward;523;;;2;;;0;;;0;;;1;;
1990;5120;Sub-Saharan Africa;9;Stock;1;Inward;36032;;;73;;;2;;;10;;;40;;
1990;5120;Sub-Saharan Africa;9;Stock;2;Outward;19414;;;65;;;1;;;6;;;26;;
1990;5121;Eastern Africa;8;Flow;1;Inward;389;;;2;;;0;;;1;;;3;;
1990;5121;Eastern Africa;8;Flow;2;Outward;20;;;0;;;0;;;0;;;0;;
1990;5121;Eastern Africa;9;Stock;1;Inward;4949;;;26;;;0;;;7;;;35;;
1990;5121;Eastern Africa;9;Stock;2;Outward;248;;;4;;;0;;;1;;;4;;
1990;5122;Middle Africa;8;Flow;1;Inward;-345;;;-5;;;0;;;-1;;;-4;;
1990;5122;Middle Africa;8;Flow;2;Outward;52;;;1;;;0;;;0;;;1;;
1990;5122;Middle Africa;9;Stock;1;Inward;4086;;;56;;;0;;;7;;;46;;
1990;5122;Middle Africa;9;Stock;2;Outward;1389;;;39;;;0;;;3;;;21;;
1990;5123;Southern Africa;8;Flow;1;Inward;92;;;2;;;0;;;0;;;0;;
1990;5123;Southern Africa;8;Flow;2;Outward;39;;;1;;;0;;;0;;;0;;
1990;5123;Southern Africa;9;Stock;1;Inward;12985;;;282;;;1;;;10;;;51;;
1990;5123;Southern Africa;9;Stock;2;Outward;15575;;;352;;;1;;;13;;;62;;
1990;5124;Western Africa;8;Flow;1;Inward;1553;;;8;;;1;;;1;;;4;;
1990;5124;Western Africa;8;Flow;2;Outward;412;;;3;;;0;;;0;;;1;;
1990;5124;Western Africa;9;Stock;1;Inward;14013;;;76;;;1;;;12;;;34;;
1990;5124;Western Africa;9;Stock;2;Outward;2202;;;14;;;0;;;2;;;6;;
1990;5200;Americas;8;Flow;1;Inward;64541;;;91;;;32;;;1;;;4;;
1990;5200;Americas;8;Flow;2;Outward;37582;;;57;;;15;;;0;;;2;;
1990;5200;Americas;9;Stock;1;Inward;759631;;;1076;;;35;;;10;;;47;;
1990;5200;Americas;9;Stock;2;Outward;868618;;;1306;;;39;;;11;;;54;;
1990;5210;Northern America;8;Flow;1;Inward;56004;;;199;;;27;;;1;;;4;;
1990;5210;Northern America;8;Flow;2;Outward;36219;;;129;;;15;;;1;;;3;;
1990;5210;Northern America;9;Stock;1;Inward;652444;;;2321;;;30;;;10;;;47;;
1990;5210;Northern America;9;Stock;2;Outward;816569;;;2904;;;36;;;12;;;58;;
1990;5220;Latin America and the Caribbean;8;Flow;1;Inward;8537;;;20;;;4;;;1;;;4;;
1990;5220;Latin America and the Caribbean;8;Flow;2;Outward;1364;;;4;;;1;;;0;;;1;;
1990;5220;Latin America and the Caribbean;9;Stock;1;Inward;107187;;;252;;;5;;;9;;;48;;
1990;5220;Latin America and the Caribbean;9;Stock;2;Outward;52049;;;136;;;2;;;5;;;24;;
1990;5221;Caribbean;8;Flow;1;Inward;437;;;24;;;0;;;2;;;10;;
1990;5221;Caribbean;8;Flow;2;Outward;29;;;3;;;0;;;0;;;2;;
1990;5221;Caribbean;9;Stock;1;Inward;3876;;;220;;;0;;;16;;;91;;
1990;5221;Caribbean;9;Stock;2;Outward;63;;;17;;;0;;;1;;;3;;
1990;5222;Central America;8;Flow;1;Inward;3056;;;27;;;1;;;1;;;5;;
1990;5222;Central America;8;Flow;2;Outward;226;;;2;;;0;;;0;;;0;;
1990;5222;Central America;9;Stock;1;Inward;28496;;;254;;;1;;;8;;;44;;
1990;5222;Central America;9;Stock;2;Outward;2793;;;28;;;0;;;1;;;4;;
1990;5223;South America;8;Flow;1;Inward;5044;;;17;;;2;;;1;;;3;;
1990;5223;South America;8;Flow;2;Outward;1109;;;4;;;0;;;0;;;1;;
1990;5223;South America;9;Stock;1;Inward;74815;;;254;;;3;;;10;;;49;;
1990;5223;South America;9;Stock;2;Outward;49194;;;176;;;2;;;7;;;33;;
1990;5300;Asia;8;Flow;1;Inward;25044;;;8;;;12;;;0;;;1;;
1990;5300;Asia;8;Flow;2;Outward;62116;;;21;;;25;;;1;;;4;;
1990;5300;Asia;9;Stock;1;Inward;353153;;;112;;;16;;;6;;;21;;
1990;5300;Asia;9;Stock;2;Outward;269699;;;92;;;12;;;5;;;16;;
1990;5330;Eastern Asia;8;Flow;1;Inward;10951;;;8;;;5;;;0;;;1;;
1990;5330;Eastern Asia;8;Flow;2;Outward;60429;;;45;;;25;;;1;;;5;;
1990;5330;Eastern Asia;9;Stock;1;Inward;249930;;;182;;;11;;;6;;;19;;
1990;5330;Eastern Asia;9;Stock;2;Outward;250473;;;186;;;11;;;6;;;19;;
1990;5350;South-eastern Asia;8;Flow;1;Inward;12821;;;30;;;6;;;3;;;12;;
1990;5350;South-eastern Asia;8;Flow;2;Outward;2328;;;7;;;1;;;1;;;2;;
1990;5350;South-eastern Asia;9;Stock;1;Inward;61640;;;140;;;3;;;16;;;56;;
1990;5350;South-eastern Asia;9;Stock;2;Outward;9471;;;28;;;0;;;3;;;9;;
1990;5320;Southern Asia;8;Flow;1;Inward;213;;;0;;;0;;;0;;;0;;
1990;5320;Southern Asia;8;Flow;2;Outward;65;;;0;;;0;;;0;;;0;;
1990;5320;Southern Asia;9;Stock;1;Inward;6795;;;6;;;0;;;1;;;5;;
1990;5320;Southern Asia;9;Stock;2;Outward;478;;;0;;;0;;;0;;;0;;
1990;5340;Western Asia;8;Flow;1;Inward;1060;;;8;;;1;;;0;;;1;;
1990;5340;Western Asia;8;Flow;2;Outward;-706;;;-8;;;0;;;0;;;-1;;
